Date,Open,High,Low,Close,Volume
2026-02-11 15:15:00,2910.6,2910.9,2909.3,2910.7,17725
2026-02-11 15:16:00,2910.8,2911.4,2910.5,2911.0,17929
2026-02-11 15:17:00,2911.1,2911.9,2910.4,2910.6,26402
2026-02-11 15:18:00,2910.5,2910.5,2908.0,2908.6,31683
2026-02-11 15:19:00,2909.0,2909.0,2907.3,2908.2,24991
2026-02-11 15:20:00,2908.3,2908.3,2907.5,2908.3,24994
2026-02-11 15:21:00,2908.2,2908.8,2907.0,2907.0,19993
2026-02-11 15:22:00,2907.1,2907.9,2906.5,2907.8,25512
2026-02-11 15:23:00,2907.8,2907.8,2906.1,2906.9,14172
2026-02-11 15:24:00,2906.9,2906.9,2905.2,2905.8,23920
2026-02-11 15:25:00,2906.0,2907.0,2904.2,2906.0,35231
2026-02-11 15:26:00,2906.0,2907.0,2905.7,2906.8,14463
2026-02-11 15:27:00,2906.9,2907.5,2906.0,2906.9,22109
2026-02-11 15:28:00,2906.9,2907.0,2905.6,2907.0,15901
2026-02-11 15:29:00,2907.0,2909.0,2906.9,2909.0,21754
2026-02-12 09:15:00,2869.8,2880.0,2855.0,2863.2,127176
2026-02-12 09:16:00,2861.6,2861.6,2846.1,2849.9,174070
2026-02-12 09:17:00,2850.0,2850.0,2835.6,2837.6,98976
2026-02-12 09:18:00,2837.9,2838.8,2826.6,2827.0,102790
2026-02-12 09:19:00,2827.2,2833.5,2826.0,2831.5,81308
2026-02-12 09:20:00,2831.5,2831.5,2824.2,2826.0,76581
2026-02-12 09:21:00,2825.7,2826.5,2812.0,2814.6,103646
2026-02-12 09:22:00,2815.0,2818.2,2808.0,2811.3,86749
2026-02-12 09:23:00,2810.0,2812.3,2797.3,2799.6,122665
2026-02-12 09:24:00,2800.2,2813.6,2800.2,2813.6,51824
2026-02-12 09:25:00,2813.0,2815.2,2810.6,2814.5,34158
2026-02-12 09:26:00,2813.3,2813.3,2807.0,2811.0,38482
2026-02-12 09:27:00,2810.8,2813.4,2809.6,2810.0,25308
2026-02-12 09:28:00,2810.4,2810.8,2800.2,2802.7,55994
2026-02-12 09:29:00,2802.5,2804.3,2800.1,2800.3,81708
2026-02-12 09:30:00,2801.3,2801.3,2792.0,2793.6,102537
2026-02-12 09:31:00,2793.9,2795.0,2784.0,2785.5,94991
2026-02-12 09:32:00,2786.5,2786.8,2782.9,2784.0,71734
2026-02-12 09:33:00,2784.0,2789.0,2783.8,2783.9,63191
2026-02-12 09:34:00,2784.2,2785.0,2780.2,2781.5,53142
2026-02-12 09:35:00,2781.9,2785.0,2781.5,2782.0,44079
2026-02-12 09:36:00,2781.7,2788.0,2780.1,2787.4,58505
2026-02-12 09:37:00,2787.0,2791.0,2786.3,2788.6,57902
